,words,count
0,gas,2648
1,deal,2348
2,meter,2173
3,hpl,2089
4,please,1925
5,corp,1706
6,know,1420
7,ectcc,1351
8,need,1333
9,pmto,1313
10,new,1280
11,forwarded,1263
12,may,1261
13,mmbtu,1182
14,amto,1070
15,get,1058
16,see,1035
17,price,1020
18,daren,995
19,company,968
20,let,930
21,would,924
22,information,888
23,us,886
24,message,882
25,farmer,875
26,day,874
27,time,871
28,xls,866
29,attached,864
30,one,843
31,http,804
32,th,788
33,volume,777
34,mail,770
35,contract,760
36,month,740
37,robert,735
38,sitara,728
39,ectsubject,714
40,pec,709
41,energy,705
42,nom,701
43,texas,690
44,www,687
45,questions,683
46,deals,677
47,volumes,671
48,pm,668
49,ena,656
50,file,629
51,email,620
52,change,612
53,also,607
54,call,602
55,net,596
56,like,587
57,flow,583
58,following,555
59,production,552
60,want,530
61,back,530
62,original,528
63,ticket,505
64,make,494
65,could,492
66,inc,490
67,report,490
68,contact,476
69,list,476
70,days,475
71,march,470
72,sale,464
73,system,464
74,number,463
75,april,455
76,business,453
77,first,451
78,thanks,450
79,help,450
80,nomination,443
81,free,443
82,font,443
83,july,443
84,forward,439
85,per,438
86,order,438
87,use,429
88,fw,429
89,today,427
90,statements,419
91,set,415
92,gary,413
93,go,407
94,line,404
95,sales,396
96,effective,395
97,oil,392
98,well,390
99,daily,388
100,take,386
101,june,380
102,nbsp,377
103,within,376
104,america,367
105,north,365
106,plant,364
107,january,360
108,service,360
109,next,353
110,week,352
111,name,351
112,last,348
113,two,348
114,height,347
115,purchase,345
116,less,342
117,group,340
118,work,336
119,tap,336
120,year,333
121,based,332
122,available,329
123,made,328
124,changes,327
125,agreement,324
126,due,324
127,think,323
128,services,323
129,smith,322
130,transport,319
131,stock,319
132,co,316
133,cotten,314
134,sent,313
135,send,311
136,office,309
137,needs,309
138,management,308
139,money,307
140,looking,307
141,pills,306
142,ami,304
143,tenaska,302
144,george,300
145,look,300
146,online,299
147,chokshi,299
148,actuals,298
149,enroncc,297
150,point,295
151,request,294
152,size,294
153,delivery,293
154,width,292
155,august,292
156,desk,291
157,friday,290
158,product,289
159,pat,285
160,sure,283
161,future,281
162,address,280
163,find,279
164,noms,279
165,october,279
166,give,277
167,mary,273
168,vance,272
169,market,272
170,internet,270
171,melissa,267
172,link,267
173,people,264
174,said,264
175,hsc,264
176,still,261
177,account,261
178,home,261
179,pipeline,261
180,tu,260
181,best,259
182,actual,259
183,high,258
184,team,258
185,end,258
186,products,258
187,many,257
188,houston,257
189,good,255
190,feb,255
191,monday,254
192,process,253
193,lloyd,253
194,spot,253
195,info,253
196,currently,252
197,jackie,252
198,rate,251
199,receive,251
200,december,250
201,click,250
202,lisa,249
203,total,249
